provincia,ano,semana,total_casos,periodo
ALTO AMAZONAS,2016,43,15,2016.811320754717
ALTO AMAZONAS,2016,44,26,2016.8301886792453
ALTO AMAZONAS,2016,45,37,2016.8490566037735
ALTO AMAZONAS,2016,46,22,2016.867924528302
ALTO AMAZONAS,2016,47,12,2016.8867924528302
ALTO AMAZONAS,2016,48,11,2016.9056603773586
ALTO AMAZONAS,2016,49,12,2016.9245283018868
ALTO AMAZONAS,2016,50,18,2016.9433962264152
ALTO AMAZONAS,2016,51,13,2016.9622641509434
ALTO AMAZONAS,2016,52,12,2016.9811320754718
ALTO AMAZONAS,2017,1,27,2017.0188679245282
ALTO AMAZONAS,2017,2,34,2017.0377358490566
ALTO AMAZONAS,2017,3,38,2017.0566037735848
ALTO AMAZONAS,2017,4,29,2017.0754716981132
ALTO AMAZONAS,2017,5,38,2017.0943396226414
ALTO AMAZONAS,2017,6,32,2017.1132075471698
ALTO AMAZONAS,2017,7,37,2017.132075471698
ALTO AMAZONAS,2017,8,29,2017.1509433962265
ALTO AMAZONAS,2017,9,30,2017.1698113207547
ALTO AMAZONAS,2017,10,52,2017.188679245283
ALTO AMAZONAS,2017,11,65,2017.2075471698113
ALTO AMAZONAS,2017,12,40,2017.2264150943397
ALTO AMAZONAS,2017,13,37,2017.245283018868
ALTO AMAZONAS,2017,14,35,2017.2641509433963
ALTO AMAZONAS,2017,15,39,2017.2830188679245
ALTO AMAZONAS,2017,16,60,2017.301886792453
ALTO AMAZONAS,2017,17,25,2017.3207547169811
ALTO AMAZONAS,2017,18,78,2017.3396226415093
ALTO AMAZONAS,2017,19,45,2017.3584905660377
ALTO AMAZONAS,2017,20,62,2017.377358490566
ALTO AMAZONAS,2017,21,43,2017.3962264150944
ALTO AMAZONAS,2017,22,86,2017.4150943396226
ALTO AMAZONAS,2017,23,66,2017.433962264151
ALTO AMAZONAS,2017,24,59,2017.4528301886792
ALTO AMAZONAS,2017,25,23,2017.4716981132076
ALTO AMAZONAS,2017,26,53,2017.4905660377358
ALTO AMAZONAS,2017,27,67,2017.5094339622642
ALTO AMAZONAS,2017,28,56,2017.5283018867924
ALTO AMAZONAS,2017,29,23,2017.5471698113208
ALTO AMAZONAS,2017,30,47,2017.566037735849
ALTO AMAZONAS,2017,31,60,2017.5849056603774
ALTO AMAZONAS,2017,32,46,2017.6037735849056
ALTO AMAZONAS,2017,33,61,2017.622641509434
ALTO AMAZONAS,2017,34,55,2017.6415094339623
ALTO AMAZONAS,2017,35,67,2017.6603773584907
ALTO AMAZONAS,2017,36,66,2017.6792452830189
ALTO AMAZONAS,2017,37,58,2017.698113207547
ALTO AMAZONAS,2017,38,42,2017.7169811320755
ALTO AMAZONAS,2017,39,34,2017.7358490566037
ALTO AMAZONAS,2017,40,36,2017.754716981132
ALTO AMAZONAS,2017,41,22,2017.7735849056603
ALTO AMAZONAS,2017,42,27,2017.7924528301887
ALTO AMAZONAS,2017,43,31,2017.811320754717
ALTO AMAZONAS,2017,44,33,2017.8301886792453
ALTO AMAZONAS,2017,45,25,2017.8490566037735
ALTO AMAZONAS,2017,46,40,2017.867924528302
ALTO AMAZONAS,2017,47,20,2017.8867924528302
ALTO AMAZONAS,2017,48,27,2017.9056603773586
ALTO AMAZONAS,2017,49,35,2017.9245283018868
ALTO AMAZONAS,2017,50,31,2017.9433962264152
ALTO AMAZONAS,2017,51,10,2017.9622641509434
ALTO AMAZONAS,2017,52,16,2017.9811320754718
ALTO AMAZONAS,2018,1,35,2018.0188679245282
ALTO AMAZONAS,2018,2,36,2018.0377358490566
ALTO AMAZONAS,2018,3,29,2018.0566037735848
ALTO AMAZONAS,2018,4,8,2018.0754716981132
ALTO AMAZONAS,2018,5,26,2018.0943396226414
ALTO AMAZONAS,2018,6,28,2018.1132075471698
ALTO AMAZONAS,2018,7,21,2018.132075471698
ALTO AMAZONAS,2018,8,35,2018.1509433962265
ALTO AMAZONAS,2018,9,29,2018.1698113207547
ALTO AMAZONAS,2018,10,46,2018.188679245283
ALTO AMAZONAS,2018,11,36,2018.2075471698113
ALTO AMAZONAS,2018,12,28,2018.2264150943397
ALTO AMAZONAS,2018,13,27,2018.245283018868
